phase,dataset,K,scope,mask,has_ambiguity,has_tightening,independent_undirected,series,origin_start,time_start,quarter,cluster,L,model_A,model_B,N,support_records,missing_records,ambiguous_windows,independent_lower,independent_upper,pairwise_lower,pairwise_upper,joint_lower,joint_upper,joint_enclosure_lower,joint_enclosure_upper,numeric_method,Gamma_minus,Gamma_plus,W_ind,ambiguous_weight,lower_zero_margin,upper_zero_margin,mixed_components,implications,lp_variables,lp_constraints,pair_preprocess_seconds,pair_solve_seconds,pair_status,joint_seconds,independent_direction,pairwise_direction,joint_direction,pairwise_new,joint_new,higher_order_new,category,truth_delta,truth_contained,locf_delta,locf_wrong,identified_delta,identified_wrong
AP0,beijing,24,fixed_panel,natural,False,False,False,Aotizhongxin,6570,2013-11-29 18:00:00,2013Q4,beijing_2013-11-29T18:00:00,3,constant,hist_gradient_boosting,145,168,0,0,-0.0533280237585752,-0.0533280237585752,-0.0533280237585952,-0.0533280237585553,-0.0533280237585752,-0.0533280237585752,-0.0533280237588937,-0.0533280237582568,FLOAT_OUTWARD,1.0061396160665481e-15,0.0,0.0,0.0,0.0533280237585752,-0.0533280237585752,0,0,0,0,0.6932796000037342,1.3900003978051244e-05,ANALYTIC,0.0001864999940153,A,A,A,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,72,fixed_panel,natural,False,False,False,Aotizhongxin,6570,2013-11-29 18:00:00,2013Q4,beijing_2013-11-29T18:00:00,3,constant,hist_gradient_boosting,97,168,0,0,-0.049971022590712,-0.049971022590712,-0.049971022590732,-0.049971022590692,-0.049971022590712,-0.049971022590712,-0.0499710225910304,-0.0499710225903936,FLOAT_OUTWARD,0.0,0.0,0.0,0.0,0.049971022590712,-0.049971022590712,0,0,0,0,2.61999957729131e-05,1.2600008631125093e-05,ANALYTIC,0.0001161999971373,A,A,A,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,household,60,fixed_panel,natural,False,False,False,household,86400,2007-02-14 17:24:00,2007Q1,household_2007-02-14T17:24:00,5,constant,hist_gradient_boosting,10021,10080,0,0,0.0987535121452953,0.0987535121452953,0.0987535121452753,0.0987535121453153,0.0987535121452954,0.0987535121452954,0.0987535121273698,0.0987535121632211,FLOAT_OUTWARD,8.34415869732652e-13,0.0,0.0,0.0,-0.0987535121452953,0.0987535121452953,0,0,0,0,7.509998977184296e-05,4.400000034365803e-05,ANALYTIC,0.0029068000003462,B,B,B,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,household,180,fixed_panel,natural,False,False,False,household,86400,2007-02-14 17:24:00,2007Q1,household_2007-02-14T17:24:00,5,constant,hist_gradient_boosting,9901,10080,0,0,0.1019663189070889,0.1019663189070889,0.1019663189070689,0.1019663189071088,0.1019663189070863,0.1019663189070863,0.1019663188891606,0.1019663189250119,FLOAT_OUTWARD,0.0,2.5694543714926965e-11,0.0,0.0,-0.1019663189070889,0.1019663189070889,0,0,0,0,8.349999552592635e-05,4.2100000428035855e-05,ANALYTIC,0.0062901000055717,B,B,B,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0_EXTENSION,household,60,fixed_panel,natural,False,False,False,household,172800,2007-04-15 17:24:00,2007Q2,household_2007-04-15T17:24:00,5,constant,hist_gradient_boosting,10021,10080,0,0,0.0192032805140673,0.0192032805140673,0.0192032805140473,0.0192032805140873,0.0192032805140673,0.0192032805140673,0.0192032804961416,0.0192032805319929,FLOAT_OUTWARD,0.0,3.129059511497445e-13,0.0,0.0,-0.0192032805140673,0.0192032805140673,0,0,0,0,0.0001020999916363,6.140000186860561e-05,ANALYTIC,0.0026590999914333,B,B,B,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0_EXTENSION,household,180,fixed_panel,natural,False,False,False,household,172800,2007-04-15 17:24:00,2007Q2,household_2007-04-15T17:24:00,5,constant,hist_gradient_boosting,9901,10080,0,0,0.0431676210179673,0.0431676210179673,0.0431676210179473,0.0431676210179873,0.0431676210179672,0.0431676210179672,0.0431676210000416,0.0431676210358929,FLOAT_OUTWARD,0.0,6.870198854258547e-13,0.0,0.0,-0.0431676210179673,0.0431676210179673,0,0,0,0,7.069999992381781e-05,4.469999112188816e-05,ANALYTIC,0.0068234999926062,B,B,B,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP1,beijing,24,annual,natural,True,False,False,Wanliu,8760,2014-03-01 00:00:00,2014Q1,beijing_2014-03-01T00:00:00,3,constant,hist_gradient_boosting,8737,8760,72,32,0.0821670336454491,0.0840084361799923,0.0821670336454291,0.0840084361800123,0.0821670336454489,0.0840084361799918,0.082167033629868,0.0840084361955727,FLOAT_OUTWARD,0.0,4.607508818921247e-12,0.0018414025345432,0.0018414025345432,-0.0821670336454491,0.0840084361799923,0,145,57,111,0.000658500008285,0.008872300008079,OPTIMAL_DUAL_OUTWARD,0.0023035000049276,B,B,B,False,False,False,INDEPENDENT_ALREADY_DIRECTED,,,,,,
AP1,beijing,72,annual,natural,True,False,False,Wanliu,8760,2014-03-01 00:00:00,2014Q1,beijing_2014-03-01T00:00:00,3,constant,logistic,8689,8760,72,19,0.0022097059886888,0.0024348399815629,0.0022097059886688,0.0024348399815829,0.0022097059886886,0.0024348399815627,0.0022097059731077,0.0024348399971436,FLOAT_OUTWARD,0.0,1.4809234567814133e-12,0.0002251339928741,0.0002251339928741,-0.0022097059886888,0.0024348399815629,0,83,37,81,0.0011357000039424,5.499999679159373e-05,ANALYTIC,0.0028259999962756,B,B,B,False,False,False,INDEPENDENT_ALREADY_DIRECTED,,,,,,
AP1,household,60,annual,natural,True,True,False,household,282636,2007-07-01 00:00:00,2007Q3,household_2007-07-01T00:00:00,5,constant,hist_gradient_boosting,526981,527040,168,245,0.0548327151480066,0.0549244318500658,0.0548327151479866,0.0549241062030092,0.0548327151480057,0.0549241062029883,0.0548327142117746,0.0549241071392194,FLOAT_OUTWARD,0.0,0.1716098225214606,9.171670205912474e-05,9.171670205914072e-05,-0.0548327151480066,0.0549244318500658,1,5488,361,1179,0.0070489000063389,0.0197867999959271,OPTIMAL_DUAL_OUTWARD,0.1213089999946532,B,B,B,False,False,False,INDEPENDENT_ALREADY_DIRECTED,,,,,,
AP1,household,180,annual,natural,True,True,False,household,282636,2007-07-01 00:00:00,2007Q3,household_2007-07-01T00:00:00,5,constant,hist_gradient_boosting,526861,527040,168,308,0.0637346650947115,0.0639354294526693,0.0637353512135264,0.0639347433338544,0.0637353512135532,0.0639347433338409,0.0637353502773221,0.063934744270072,FLOAT_OUTWARD,0.3614892590277159,0.3614892520523874,0.0002007643579578,0.0002007643579578,-0.0637346650947115,0.0639354294526693,1,24829,615,2134,0.0085208999953465,0.0289981999958399,OPTIMAL_DUAL_OUTWARD,0.2814045999984955,B,B,B,False,False,False,INDEPENDENT_ALREADY_DIRECTED,,,,,,
